Time,road bike
1/1/2004,30
2/1/2004,30
3/1/2004,42
4/1/2004,46
5/1/2004,51
6/1/2004,60
7/1/2004,91
8/1/2004,70
9/1/2004,52
10/1/2004,36
11/1/2004,29
12/1/2004,26
1/1/2005,31
2/1/2005,32
3/1/2005,41
4/1/2005,56
5/1/2005,56
6/1/2005,62
7/1/2005,86
8/1/2005,72
9/1/2005,53
10/1/2005,38
11/1/2005,30
12/1/2005,26
1/1/2006,32
2/1/2006,36
3/1/2006,45
4/1/2006,55
5/1/2006,61
6/1/2006,64
7/1/2006,77
8/1/2006,65
9/1/2006,49
10/1/2006,36
11/1/2006,27
12/1/2006,28
1/1/2007,30
2/1/2007,33
3/1/2007,48
4/1/2007,53
5/1/2007,63
6/1/2007,67
7/1/2007,70
8/1/2007,66
9/1/2007,51
10/1/2007,38
11/1/2007,32
12/1/2007,29
1/1/2008,33
2/1/2008,37
3/1/2008,48
4/1/2008,56
5/1/2008,71
6/1/2008,78
7/1/2008,88
8/1/2008,79
9/1/2008,53
10/1/2008,40
11/1/2008,36
12/1/2008,31
1/1/2009,38
2/1/2009,43
3/1/2009,53
4/1/2009,61
5/1/2009,70
6/1/2009,81
7/1/2009,96
8/1/2009,85
9/1/2009,60
10/1/2009,43
11/1/2009,38
12/1/2009,34
1/1/2010,38
2/1/2010,42
3/1/2010,62
4/1/2010,71
5/1/2010,79
6/1/2010,79
7/1/2010,91
8/1/2010,75
9/1/2010,60
10/1/2010,40
11/1/2010,31
12/1/2010,29
1/1/2011,38
2/1/2011,45
3/1/2011,56
4/1/2011,69
5/1/2011,80
6/1/2011,90
7/1/2011,100
8/1/2011,85
9/1/2011,63
10/1/2011,51
11/1/2011,38
12/1/2011,35
1/1/2012,41
2/1/2012,45
3/1/2012,60
4/1/2012,70
5/1/2012,80
6/1/2012,83
7/1/2012,94
8/1/2012,88
9/1/2012,67
10/1/2012,45
11/1/2012,37
12/1/2012,32
1/1/2013,38
2/1/2013,40
3/1/2013,49
4/1/2013,59
5/1/2013,73
6/1/2013,75
7/1/2013,84
8/1/2013,73
9/1/2013,60
10/1/2013,41
11/1/2013,35
12/1/2013,34
1/1/2014,37
2/1/2014,40
3/1/2014,47
4/1/2014,62
5/1/2014,68
6/1/2014,74
7/1/2014,79
8/1/2014,69
9/1/2014,52
10/1/2014,39
11/1/2014,30
12/1/2014,30
1/1/2015,31
2/1/2015,34
3/1/2015,46
4/1/2015,54
5/1/2015,63
6/1/2015,64
7/1/2015,70
8/1/2015,65
9/1/2015,52
10/1/2015,38
11/1/2015,30
12/1/2015,27
1/1/2016,29
2/1/2016,33
3/1/2016,43
4/1/2016,53
5/1/2016,58
6/1/2016,59
7/1/2016,63
8/1/2016,59
9/1/2016,45
10/1/2016,34
11/1/2016,30
12/1/2016,25
1/1/2017,27
2/1/2017,35
3/1/2017,39
4/1/2017,47
5/1/2017,52
6/1/2017,55
7/1/2017,65
8/1/2017,54
9/1/2017,43
10/1/2017,36
11/1/2017,29
12/1/2017,27
1/1/2018,27
2/1/2018,33
3/1/2018,36
4/1/2018,42
5/1/2018,52
6/1/2018,54
7/1/2018,60
8/1/2018,51
9/1/2018,39
10/1/2018,29
11/1/2018,26
12/1/2018,25
1/1/2019,26
2/1/2019,28
3/1/2019,33
4/1/2019,43
5/1/2019,46
6/1/2019,50
7/1/2019,53
8/1/2019,48
9/1/2019,38
10/1/2019,28
11/1/2019,23
12/1/2019,22
1/1/2020,26
2/1/2020,27
3/1/2020,35
4/1/2020,68
5/1/2020,94
6/1/2020,84
7/1/2020,86
8/1/2020,77
9/1/2020,60
10/1/2020,46
11/1/2020,35
12/1/2020,33
1/1/2021,35
2/1/2021,32
3/1/2021,45
4/1/2021,48
5/1/2021,48
6/1/2021,48
7/1/2021,51
8/1/2021,46
9/1/2021,40
10/1/2021,31
11/1/2021,26
12/1/2021,24
1/1/2022,27
2/1/2022,31
3/1/2022,40
4/1/2022,42
5/1/2022,45
6/1/2022,47
7/1/2022,51
8/1/2022,47
9/1/2022,36
10/1/2022,28
11/1/2022,23
12/1/2022,21
1/1/2023,24
2/1/2023,27
3/1/2023,29
4/1/2023,39
5/1/2023,43
6/1/2023,48
7/1/2023,50
8/1/2023,42
9/1/2023,37
10/1/2023,29
11/1/2023,25
12/1/2023,22
1/1/2024,24
2/1/2024,27
3/1/2024,32
4/1/2024,37
5/1/2024,42
6/1/2024,50
7/1/2024,48
8/1/2024,47
9/1/2024,39
10/1/2024,29
11/1/2024,26
12/1/2024,22
1/1/2025,24
2/1/2025,25
3/1/2025,35
4/1/2025,40
5/1/2025,49
6/1/2025,50
7/1/2025,60
8/1/2025,54
9/1/2025,41
10/1/2025,33
11/1/2025,34
12/1/2025,32
1/1/2026,31
