date,world,qty,val
2018-01-02,gr,426.0,3700.0
2018-01-02,mtn,60.0,119416.0
2018-01-02,rd,204.0,494008.0
2018-01-03,gr,246.0,3268.0
2018-01-03,mtn,12.0,18072.0
2018-01-03,rd,84.0,213384.0
2018-01-04,gr,318.0,4112.0
2018-01-04,mtn,6.0,11552.0
2018-01-04,rd,54.0,175352.0
2018-01-05,gr,156.0,820.0
2018-01-05,mtn,6.0,16352.0
2018-01-05,rd,48.0,98900.0
2018-01-08,gr,276.0,3260.0
2018-01-08,mtn,18.0,46300.0
2018-01-08,rd,102.0,230744.0
2018-01-09,gr,282.0,3156.0
2018-01-09,mtn,12.0,32304.0
2018-01-09,rd,42.0,85496.0
2018-01-10,gr,354.0,1004.0
2018-01-10,mtn,6.0,9952.0
2018-01-10,rd,90.0,176788.0
2018-01-11,gr,378.0,6620.0
2018-01-11,mtn,42.0,72120.0
2018-01-11,rd,96.0,282884.0
2018-01-12,gr,426.0,4668.0
2018-01-12,mtn,30.0,73948.0
2018-01-12,rd,54.0,143056.0
2018-01-15,gr,606.0,7732.0
2018-01-15,mtn,48.0,115444.0
2018-01-15,rd,156.0,407432.0
2018-01-16,gr,480.0,6164.0
2018-01-16,mtn,18.0,32744.0
2018-01-16,rd,174.0,478048.0
2018-01-17,gr,306.0,4440.0
2018-01-17,mtn,18.0,39444.0
2018-01-17,rd,114.0,327800.0
2018-01-18,gr,354.0,2040.0
2018-01-18,mtn,30.0,51992.0
2018-01-18,rd,150.0,451356.0
2018-01-19,gr,354.0,3692.0
2018-01-19,mtn,24.0,51004.0
2018-01-19,rd,120.0,346192.0
2018-01-22,gr,282.0,3128.0
2018-01-22,mtn,36.0,60504.0
2018-01-22,rd,156.0,459572.0
2018-01-23,gr,288.0,1936.0
2018-01-23,mtn,36.0,76156.0
2018-01-23,rd,84.0,200324.0
2018-01-24,gr,372.0,4296.0
2018-01-24,mtn,6.0,13312.0
2018-01-24,rd,108.0,284620.0
2018-01-25,gr,708.0,9024.0
2018-01-25,mtn,36.0,71680.0
2018-01-25,rd,120.0,317556.0
2018-01-26,gr,426.0,10216.0
2018-01-26,mtn,30.0,49092.0
2018-01-26,rd,138.0,389832.0
2018-01-27,rd,6.0,11152.0
2018-01-29,gr,438.0,6588.0
2018-01-29,mtn,18.0,34536.0
2018-01-29,rd,192.0,492416.0
2018-01-30,gr,372.0,6668.0
2018-01-30,mtn,36.0,75356.0
2018-01-30,rd,114.0,245584.0
2018-01-31,gr,282.0,1916.0
2018-01-31,mtn,36.0,77784.0
2018-01-31,rd,120.0,325104.0
2018-02-01,gr,330.0,2496.0
2018-02-01,mtn,72.0,141556.0
2018-02-01,rd,72.0,191904.0
2018-02-02,gr,312.0,1740.0
2018-02-02,mtn,30.0,81360.0
2018-02-02,rd,108.0,286284.0
2018-02-03,gr,72.0,532.0
2018-02-03,rd,24.0,68672.0
2018-02-05,gr,510.0,5708.0
2018-02-05,mtn,48.0,81504.0
2018-02-05,rd,210.0,495748.0
2018-02-06,gr,312.0,2932.0
2018-02-06,mtn,36.0,81480.0
2018-02-06,rd,102.0,263136.0
2018-02-07,gr,384.0,3620.0
2018-02-07,mtn,24.0,39092.0
2018-02-07,rd,102.0,249020.0
2018-02-08,gr,450.0,4048.0
2018-02-08,mtn,42.0,106836.0
2018-02-08,rd,108.0,267680.0
2018-02-09,gr,312.0,3932.0
2018-02-09,mtn,18.0,38652.0
2018-02-09,rd,78.0,214848.0
2018-02-12,gr,444.0,4688.0
2018-02-12,mtn,108.0,305108.0
2018-02-12,rd,180.0,402840.0
2018-02-13,gr,372.0,3724.0
2018-02-13,mtn,72.0,187600.0
2018-02-13,rd,120.0,288180.0
2018-02-14,gr,282.0,3608.0
2018-02-14,mtn,96.0,223140.0
2018-02-14,rd,126.0,267768.0
2018-02-15,gr,462.0,4296.0
2018-02-15,mtn,48.0,100204.0
2018-02-15,rd,72.0,198924.0
2018-02-16,gr,324.0,3460.0
2018-02-16,mtn,60.0,141364.0
2018-02-16,rd,102.0,268980.0
2018-02-17,rd,6.0,15152.0
2018-02-19,gr,504.0,8652.0
2018-02-19,mtn,54.0,117788.0
2018-02-19,rd,186.0,415172.0
2018-02-20,gr,306.0,2588.0
2018-02-20,mtn,48.0,101232.0
2018-02-20,rd,72.0,159788.0
2018-02-21,gr,1164.0,3592.0
2018-02-21,mtn,60.0,114684.0
2018-02-21,rd,150.0,406424.0
2018-02-22,gr,378.0,3208.0
2018-02-22,mtn,54.0,141584.0
2018-02-22,rd,114.0,257056.0
2018-02-23,gr,654.0,5656.0
2018-02-23,mtn,72.0,182256.0
2018-02-23,rd,168.0,424076.0
2018-02-24,mtn,6.0,28352.0
2018-02-24,rd,6.0,11896.0
2018-02-26,gr,636.0,8344.0
2018-02-26,mtn,108.0,241512.0
2018-02-26,rd,300.0,889160.0
2018-02-27,gr,792.0,6768.0
2018-02-27,mtn,114.0,278220.0
2018-02-27,rd,204.0,503092.0
2018-02-28,gr,402.0,2456.0
2018-02-28,mtn,42.0,88752.0
2018-02-28,rd,156.0,391492.0
2018-03-01,gr,456.0,6108.0
2018-03-01,mtn,78.0,144336.0
2018-03-01,rd,150.0,372832.0
2018-03-02,gr,288.0,3604.0
2018-03-02,mtn,66.0,134148.0
2018-03-02,rd,138.0,395020.0
2018-03-03,gr,6.0,128.0
2018-03-03,mtn,6.0,9952.0
2018-03-03,rd,12.0,31748.0
2018-03-05,gr,672.0,7080.0
2018-03-05,mtn,120.0,233848.0
2018-03-05,rd,240.0,541300.0
2018-03-06,gr,228.0,5412.0
2018-03-06,mtn,84.0,170536.0
2018-03-06,rd,90.0,213440.0
2018-03-07,gr,330.0,5828.0
2018-03-07,mtn,42.0,82596.0
2018-03-07,rd,102.0,267532.0
2018-03-08,gr,498.0,4944.0
2018-03-08,mtn,36.0,90500.0
2018-03-08,rd,144.0,354268.0
2018-03-09,gr,180.0,2720.0
2018-03-09,mtn,42.0,77908.0
2018-03-09,rd,90.0,225692.0
2018-03-10,gr,588.0,1120.0
2018-03-10,mtn,6.0,10196.0
2018-03-10,rd,18.0,38028.0
2018-03-11,rd,6.0,10352.0
2018-03-12,gr,468.0,7800.0
2018-03-12,mtn,78.0,172852.0
2018-03-12,rd,282.0,735780.0
2018-03-13,gr,498.0,4268.0
2018-03-13,mtn,90.0,189844.0
2018-03-13,rd,186.0,492288.0
2018-03-14,gr,192.0,1464.0
2018-03-14,mtn,60.0,131792.0
2018-03-14,rd,102.0,259048.0
2018-03-15,gr,360.0,5056.0
2018-03-15,mtn,54.0,115456.0
2018-03-15,rd,168.0,430560.0
2018-03-16,gr,498.0,4456.0
2018-03-16,mtn,66.0,162536.0
2018-03-16,rd,210.0,537556.0
2018-03-19,gr,378.0,4916.0
2018-03-19,mtn,120.0,289684.0
2018-03-19,rd,276.0,657512.0
2018-03-20,gr,366.0,3360.0
2018-03-20,mtn,60.0,131284.0
2018-03-20,rd,162.0,393936.0
2018-03-21,gr,570.0,9476.0
2018-03-21,mtn,42.0,101664.0
2018-03-21,rd,144.0,340636.0
2018-03-22,gr,426.0,3660.0
2018-03-22,mtn,48.0,113144.0
2018-03-22,rd,108.0,216592.0
2018-03-23,gr,342.0,3756.0
2018-03-23,mtn,48.0,118048.0
2018-03-23,rd,132.0,330168.0
2018-03-24,rd,6.0,11152.0
2018-03-26,gr,918.0,15440.0
2018-03-26,mtn,60.0,136204.0
2018-03-26,rd,336.0,921692.0
2018-03-26,na,6.0,14352.0
2018-03-27,gr,522.0,4624.0
2018-03-27,mtn,42.0,134496.0
2018-03-27,rd,156.0,419304.0
2018-03-28,gr,396.0,6276.0
2018-03-28,mtn,12.0,21344.0
2018-03-28,rd,192.0,519576.0
2018-03-29,gr,390.0,6600.0
2018-03-29,mtn,36.0,75356.0
2018-03-29,rd,120.0,235132.0
2018-03-30,gr,216.0,3068.0
2018-03-30,mtn,42.0,91708.0
2018-03-30,rd,120.0,318840.0
2018-03-31,gr,18.0,0.0
2018-03-31,rd,18.0,60024.0
2018-04-02,gr,552.0,7768.0
2018-04-02,mtn,84.0,203656.0
2018-04-02,rd,390.0,994160.0
2018-04-03,gr,348.0,5832.0
2018-04-03,mtn,42.0,112064.0
2018-04-03,rd,162.0,437960.0
2018-04-04,gr,384.0,4016.0
2018-04-04,mtn,54.0,117588.0
2018-04-04,rd,132.0,314964.0
2018-04-04,na,6.0,12252.0
2018-04-05,gr,300.0,5328.0
2018-04-05,mtn,48.0,121648.0
2018-04-05,rd,138.0,317172.0
2018-04-06,gr,258.0,1528.0
2018-04-06,mtn,24.0,51696.0
2018-04-06,rd,108.0,295036.0
2018-04-06,na,6.0,13996.0
2018-04-07,rd,6.0,15952.0
2018-04-09,gr,570.0,11048.0
2018-04-09,mtn,78.0,203548.0
2018-04-09,rd,180.0,391840.0
2018-04-10,gr,402.0,4112.0
2018-04-10,mtn,90.0,252488.0
2018-04-10,rd,144.0,376800.0
2018-04-11,gr,414.0,2604.0
2018-04-11,mtn,42.0,111848.0
2018-04-11,rd,150.0,442448.0
2018-04-12,gr,450.0,7508.0
2018-04-12,mtn,36.0,98284.0
2018-04-12,rd,150.0,377300.0
2018-04-13,gr,366.0,3956.0
2018-04-13,mtn,54.0,142904.0
2018-04-13,rd,204.0,544772.0
2018-04-14,rd,18.0,71456.0
2018-04-16,gr,786.0,14536.0
2018-04-16,mtn,126.0,278336.0
2018-04-16,rd,324.0,866220.0
2018-04-16,na,6.0,14352.0
2018-04-17,gr,528.0,6244.0
2018-04-17,mtn,60.0,155476.0
2018-04-17,rd,174.0,457824.0
2018-04-18,gr,270.0,2236.0
2018-04-18,mtn,42.0,118708.0
2018-04-18,rd,144.0,404724.0
2018-04-18,u&r,12.0,16948.0
2018-04-19,gr,396.0,12456.0
2018-04-19,grav,36.0,79712.0
2018-04-19,mtn,48.0,102992.0
2018-04-19,rd,144.0,323120.0
2018-04-20,gr,516.0,12220.0
2018-04-20,grav,30.0,55248.0
2018-04-20,mtn,60.0,152044.0
2018-04-20,rd,168.0,442944.0
2018-04-20,na,6.0,14352.0
2018-04-20,u&r,6.0,8352.0
2018-04-21,mtn,6.0,18352.0
2018-04-21,rd,12.0,30704.0
2018-04-23,gr,474.0,5496.0
2018-04-23,grav,30.0,52800.0
2018-04-23,mtn,126.0,350552.0
2018-04-23,rd,282.0,671068.0
2018-04-23,na,6.0,14352.0
2018-04-24,gr,576.0,10100.0
2018-04-24,grav,24.0,48204.0
2018-04-24,mtn,78.0,210764.0
2018-04-24,rd,174.0,453464.0
2018-04-25,gr,522.0,7280.0
2018-04-25,grav,12.0,29504.0
2018-04-25,mtn,84.0,223260.0
2018-04-25,rd,72.0,202372.0
2018-04-25,u&r,6.0,8352.0
2018-04-26,gr,276.0,4004.0
2018-04-26,grav,12.0,21748.0
2018-04-26,mtn,42.0,77208.0
2018-04-26,rd,66.0,169956.0
2018-04-26,na,6.0,14696.0
2018-04-27,gr,786.0,21920.0
2018-04-27,grav,6.0,11872.0
2018-04-27,mtn,78.0,195592.0
2018-04-27,rd,150.0,475880.0
2018-04-28,rd,18.0,48256.0
2018-04-30,gr,804.0,10684.0
2018-04-30,grav,36.0,68188.0
2018-04-30,mtn,126.0,290852.0
2018-04-30,rd,312.0,836432.0
2018-04-30,na,6.0,13996.0
2018-04-30,u&r,6.0,8696.0
2018-05-01,gr,528.0,11880.0
2018-05-01,grav,24.0,58804.0
2018-05-01,mtn,78.0,182296.0
2018-05-01,rd,144.0,439304.0
2018-05-01,na,6.0,12596.0
2018-05-02,gr,492.0,4720.0
2018-05-02,grav,12.0,23532.0
2018-05-02,mtn,48.0,125896.0
2018-05-02,rd,120.0,313756.0
2018-05-03,gr,336.0,5864.0
2018-05-03,grav,42.0,96056.0
2018-05-03,mtn,66.0,162676.0
2018-05-03,rd,72.0,163816.0
2018-05-03,u&r,6.0,8352.0
2018-05-04,gr,324.0,3436.0
2018-05-04,grav,24.0,45096.0
2018-05-04,mtn,72.0,190328.0
2018-05-04,rd,114.0,294676.0
2018-05-04,na,6.0,14352.0
2018-05-05,mtn,18.0,43056.0
2018-05-07,gr,750.0,9512.0
2018-05-07,grav,6.0,19596.0
2018-05-07,mtn,180.0,452804.0
2018-05-07,rd,162.0,356028.0
2018-05-07,na,12.0,27892.0
2018-05-07,u&r,6.0,8340.0
2018-05-08,gr,564.0,6880.0
2018-05-08,grav,12.0,21504.0
2018-05-08,mtn,342.0,646236.0
2018-05-08,rd,132.0,334292.0
2018-05-08,na,6.0,14352.0
2018-05-08,u&r,12.0,16948.0
2018-05-09,gr,576.0,13044.0
