date,world,pdp,purchases
2024-01-01,e-grav,57.0,0.0
2024-01-01,e-mtn,480.0,1.0
2024-01-01,e-u&r,93.0,0.0
2024-01-01,gr,1042.0,14.0
2024-01-01,grav,74.0,2.0
2024-01-01,mtn,2908.0,2.0
2024-01-01,rd,680.0,5.0
2024-01-01,na,3.0,0.0
2024-01-01,u&r,236.0,1.0
2024-01-02,e-grav,89.0,0.0
2024-01-02,e-mtn,552.0,2.0
2024-01-02,e-u&r,124.0,0.0
2024-01-02,gr,1516.0,27.0
2024-01-02,grav,273.0,3.0
2024-01-02,mtn,3553.0,1.0
2024-01-02,rd,979.0,7.0
2024-01-02,na,9.0,0.0
2024-01-02,u&r,217.0,0.0
2024-01-03,e-grav,113.0,0.0
2024-01-03,e-mtn,720.0,0.0
2024-01-03,e-u&r,131.0,1.0
2024-01-03,gr,1504.0,37.0
2024-01-03,grav,186.0,3.0
2024-01-03,mtn,3830.0,2.0
2024-01-03,rd,974.0,4.0
2024-01-03,na,2.0,0.0
2024-01-03,u&r,258.0,1.0
2024-01-04,e-grav,77.0,0.0
2024-01-04,e-mtn,649.0,0.0
2024-01-04,e-u&r,103.0,0.0
2024-01-04,gr,1310.0,29.0
2024-01-04,grav,96.0,6.0
2024-01-04,mtn,3658.0,3.0
2024-01-04,rd,1080.0,10.0
2024-01-04,na,2.0,0.0
2024-01-04,u&r,290.0,0.0
2024-01-05,e-grav,113.0,0.0
2024-01-05,e-mtn,377.0,0.0
2024-01-05,e-u&r,143.0,0.0
2024-01-05,gr,1232.0,9.0
2024-01-05,grav,77.0,2.0
2024-01-05,mtn,3333.0,3.0
2024-01-05,rd,1001.0,7.0
2024-01-05,na,3.0,0.0
2024-01-05,u&r,284.0,0.0
2024-01-06,e-grav,94.0,0.0
2024-01-06,e-mtn,447.0,0.0
2024-01-06,e-u&r,77.0,1.0
2024-01-06,gr,1106.0,17.0
2024-01-06,grav,1078.0,0.0
2024-01-06,mtn,3145.0,5.0
2024-01-06,rd,1076.0,6.0
2024-01-06,na,3.0,0.0
2024-01-06,u&r,308.0,1.0
2024-01-07,e-grav,106.0,0.0
2024-01-07,e-mtn,440.0,1.0
2024-01-07,e-u&r,64.0,0.0
2024-01-07,gr,1232.0,25.0
2024-01-07,grav,69.0,3.0
2024-01-07,mtn,2918.0,2.0
2024-01-07,rd,732.0,8.0
2024-01-07,na,1.0,0.0
2024-01-07,u&r,240.0,1.0
2024-01-08,e-grav,84.0,1.0
2024-01-08,e-mtn,574.0,0.0
2024-01-08,e-u&r,77.0,0.0
2024-01-08,gr,1374.0,25.0
2024-01-08,grav,104.0,4.0
2024-01-08,mtn,3645.0,2.0
